Date,City,Highest AQI,Rounded AQI
2023-01-25,Perth,9.35820895522388,9
2023-01-25,Newcastle,31.68,32
2023-01-25,Melbourne,40.92,41
2023-01-25,Hobart,11.88,12
2023-01-25,Darwin,18.7,19
2023-01-25,Canberra,30.360000000000003,30
2023-01-25,Brisbane,30.360000000000003,30
2023-01-25,Adelaide,27.72,28
2023-01-25,Launceston,11.88,12
2023-01-26,Launceston,6.6000000000000005,7
2023-01-26,Adelaide,17.16,17
2023-01-26,Brisbane,30.360000000000003,30
2023-01-26,Canberra,36.96,37
2023-01-26,Hobart,11.88,12
2023-01-26,Melbourne,26.4,26
2023-01-26,Newcastle,35.64,36
2023-01-26,Perth,8.865671641791044,9
2023-01-26,Sydney,42.24,42
2023-01-26,Wollongong,38.28,38
2023-01-27,Perth,7.92,8
2023-01-27,Newcastle,31.68,32
2023-01-27,Wollongong,19.8,20
2023-01-27,Sydney,22.44,22
2023-01-27,Melbourne,31.68,32
2023-01-27,Adelaide,22.44,22
2023-01-27,Hobart,11.88,12
2023-01-27,Darwin,25.08,25
2023-01-27,Canberra,19.8,20
2023-01-27,Brisbane,30.360000000000003,30
2023-01-27,Launceston,11.88,12
2023-01-28,Sydney,30.360000000000003,30
2023-01-28,Perth,10.56,11
2023-01-28,Newcastle,29.040000000000003,29
2023-01-28,Melbourne,38.28,38
2023-01-28,Launceston,17.16,17
2023-01-28,Wollongong,31.68,32
2023-01-28,Darwin,19.8,20
2023-01-28,Canberra,34.32,34
2023-01-28,Brisbane,23.76,24
2023-01-28,Adelaide,22.44,22
2023-01-28,Hobart,6.6000000000000005,7
2023-01-29,Wollongong,50.16,50
2023-01-29,Sydney,44.88,45
2023-01-29,Perth,12.805970149253731,13
2023-01-29,Newcastle,27.72,28
2023-01-29,Melbourne,35.64,36
2023-01-29,Launceston,6.6000000000000005,7
2023-01-29,Darwin,17.16,17
2023-01-29,Canberra,47.52,48
2023-01-29,Brisbane,25.08,25
2023-01-29,Adelaide,17.16,17
2023-01-29,Hobart,11.88,12
2023-01-30,Melbourne,23.76,24
2023-01-30,Sydney,15.84,16
2023-01-30,Perth,11.88,12
2023-01-30,Newcastle,30.360000000000003,30
