Date,Country,City,Pollutant,count,min,max,median,variance
29/12/2022,AU,Adelaide,so2,15,0.6,1.1,0.6,0.31
29/12/2022,AU,Brisbane,no2,119,0.5,7.4,2.3,26.48
29/12/2022,AU,Brisbane,o3,72,0.5,10.2,5.3,59.23
29/12/2022,AU,Brisbane,pm10,216,2,36,16,509.8
29/12/2022,AU,Brisbane,pm2.5,214,1,51,27,1189.26
29/12/2022,AU,Brisbane,so2,23,0.6,2.1,0.6,1.78
29/12/2022,AU,Canberra,co,27,0.4,8,0.8,88.41
29/12/2022,AU,Canberra,no2,9,0.5,6.9,2.3,51.67
29/12/2022,AU,Canberra,o3,68,1.7,10.6,6.5,39.14
29/12/2022,AU,Canberra,pm10,69,2,21,7,163.99
29/12/2022,AU,Canberra,pm2.5,65,2,52,19,1204.34
29/12/2022,AU,Darwin,co,72,1.2,5.7,4.2,30.17
29/12/2022,AU,Darwin,no2,72,0.1,1.5,0.3,1.75
29/12/2022,AU,Darwin,o3,72,4.1,7.4,5.5,3.37
29/12/2022,AU,Darwin,pm10,72,1,25,14,450.56
29/12/2022,AU,Darwin,pm2.5,62,2,27,13,416.14
29/12/2022,AU,Darwin,so2,58,0.1,0.8,0.1,0.99
29/12/2022,AU,Hobart,pm10,71,2,13,6,42.34
29/12/2022,AU,Hobart,pm2.5,48,5,13,5,54.4
29/12/2022,AU,Launceston,pm10,117,2,12,7,32.49
29/12/2022,AU,Launceston,pm2.5,63,5,17,9,54.89
29/12/2022,AU,Melbourne,co,90,0.4,2.6,0.7,2.03
29/12/2022,AU,Melbourne,no2,67,1,7.5,2.8,16.44
29/12/2022,AU,Melbourne,o3,85,5.6,15.2,10.4,75.42
29/12/2022,AU,Melbourne,pm10,120,11,35,22,148.35
29/12/2022,AU,Melbourne,pm2.5,165,1,52,26,1019.23
29/12/2022,AU,Melbourne,so2,88,0.2,1.5,0.7,1.24
29/12/2022,AU,Newcastle,no2,65,1,9.3,2.8,67.43
29/12/2022,AU,Newcastle,pm10,144,5,60,22,730.58
29/12/2022,AU,Newcastle,pm2.5,139,1,55,19,1204.16
29/12/2022,AU,Newcastle,so2,25,1.5,20,1.5,277.35
29/12/2022,AU,Perth,no2,15,1.2,7.8,4.5,75.14
29/12/2022,AU,Perth,o3,69,6,54,22,1065.78
29/12/2022,AU,Perth,pm10,90,5,18,9,93.54
29/12/2022,AU,Perth,pm2.5,90,2,22,7,248.15
29/12/2022,AU,Sydney,co,9,1.2,2.3,1.2,3.03
29/12/2022,AU,Sydney,no2,110,1,10.2,2.8,30.97
29/12/2022,AU,Sydney,o3,132,2.4,17.6,12.1,104.4
29/12/2022,AU,Sydney,pm10,144,8,33,16,193.29
29/12/2022,AU,Sydney,pm2.5,142,1,45,18,704.6
29/12/2022,AU,Sydney,so2,14,1.5,10,1.5,59.44
29/12/2022,AU,Wollongong,co,17,2.3,6.7,4.5,17.35
29/12/2022,AU,Wollongong,no2,35,1,13.9,2.8,148.88
29/12/2022,AU,Wollongong,o3,44,0.8,15.2,9.6,174.62
29/12/2022,AU,Wollongong,pm10,48,4,47,16,990.81
29/12/2022,AU,Wollongong,pm2.5,46,1,53,22,1805.16
29/12/2022,AU,Wollongong,so2,16,1.5,17.2,2.9,326.39
30/12/2022,AU,Adelaide,co,19,1.6,2.7,2.1,1.74
30/12/2022,AU,Adelaide,no2,65,0.5,6.4,1.9,25.63
30/12/2022,AU,Adelaide,o3,66,3.7,10.6,7,39.3
30/12/2022,AU,Adelaide,pm10,120,10,37,19,310.35
30/12/2022,AU,Adelaide,pm2.5,95,5,50,21,1042.31
30/12/2022,AU,Adelaide,so2,18,0.6,1.6,0.6,1.22
30/12/2022,AU,Brisbane,no2,114,0.5,6.9,1.4,16.59
30/12/2022,AU,Brisbane,o3,71,1.7,7.8,4.1,16.45
30/12/2022,AU,Brisbane,pm10,215,1,33,10,335.89
30/12/2022,AU,Brisbane,pm2.5,214,1,40,14,1040.6
30/12/2022,AU,Brisbane,so2,13,0.6,2.1,0.6,3.27
30/12/2022,AU,Canberra,co,38,0.1,8.2,0.4,156.77
30/12/2022,AU,Canberra,no2,7,0.5,1.4,0.5,1.3
30/12/2022,AU,Canberra,o3,69,1.7,9.8,6.1,42.1
30/12/2022,AU,Canberra,pm10,69,1,13,4,65.75
30/12/2022,AU,Canberra,pm2.5,52,2,28,10,349.61
30/12/2022,AU,Darwin,co,71,1.3,6,4.3,32.4
30/12/2022,AU,Darwin,no2,71,0.1,1.7,0.3,1.31
30/12/2022,AU,Darwin,o3,69,4.7,8.8,5.8,11.66
30/12/2022,AU,Darwin,pm10,72,4,34,14,499.01
30/12/2022,AU,Darwin,pm2.5,63,1,28,13,629.88
30/12/2022,AU,Darwin,so2,58,0.1,0.9,0.1,1.06
30/12/2022,AU,Hobart,pm10,70,2,11,6,51.18
30/12/2022,AU,Hobart,pm2.5,56,5,17,9,75.58
30/12/2022,AU,Launceston,pm10,118,1,13,6,43.42
30/12/2022,AU,Launceston,pm2.5,79,5,21,5,69.22
30/12/2022,AU,Melbourne,co,92,0.9,3.6,1.4,3.33
30/12/2022,AU,Melbourne,no2,89,1.9,9.3,4.7,34.25
30/12/2022,AU,Melbourne,o3,92,0.2,36.1,14.5,1690.42
30/12/2022,AU,Melbourne,pm10,120,6,37,22,714.11
30/12/2022,AU,Melbourne,pm2.5,164,2,67,35,2099.91
30/12/2022,AU,Melbourne,so2,71,0.7,1.5,1.4,0.61
30/12/2022,AU,Newcastle,no2,38,1,8.4,1.9,35.67
30/12/2022,AU,Newcastle,pm10,144,5,42,22,458.69
30/12/2022,AU,Newcastle,pm2.5,136,3,62,21,1448.23
30/12/2022,AU,Newcastle,so2,45,1.5,14.3,1.5,137.18
30/12/2022,AU,Perth,no2,24,1.2,10,3.4,72.4
30/12/2022,AU,Perth,o3,69,3,59,19,1664.08
30/12/2022,AU,Perth,pm10,92,5,41,11,190.12
30/12/2022,AU,Perth,pm2.5,89,4,24,9,341.13
