Date,Country,City,Pollutant,count,min,max,median,variance,AQI,Rounded AQI
2022-12-28,AU,Perth,no2,11,1.2,5.6,3.4,26.84,1.4024999999999999,1
2022-12-28,AU,Perth,o3,60,12.0,35.0,19.0,295.01,9.35820895522388,9
2022-12-28,AU,Perth,pm10,91,5.0,19.0,10.0,103.77,6.6000000000000005,7
2022-12-28,AU,Perth,pm2.5,85,2.0,18.0,7.0,189.68,9.24,9
2022-12-28,AU,Sydney,co,9,1.2,2.3,2.3,3.03,12.649999999999999,13
2022-12-28,AU,Sydney,no2,89,1.0,8.4,2.8,40.67,1.1549999999999998,1
2022-12-28,AU,Sydney,o3,134,3.2,32.8,15.2,380.52,7.486567164179104,7
2022-12-28,AU,Sydney,pm10,144,2.0,28.0,14.0,278.13,9.24,9
2022-12-28,AU,Sydney,pm2.5,143,1.0,52.0,17.0,913.37,22.44,22
2022-12-28,AU,Sydney,so2,38,1.5,17.2,2.9,98.61,0.719548872180451,1
2022-12-28,AU,Wollongong,co,7,1.2,2.3,1.2,2.88,6.6,7
2022-12-28,AU,Wollongong,no2,22,1.0,7.5,1.9,30.71,0.78375,1
2022-12-28,AU,Wollongong,o3,43,5.6,26.4,16.0,362.69,7.880597014925373,8
2022-12-28,AU,Wollongong,pm10,48,2.0,34.0,20.0,717.0,13.200000000000001,13
2022-12-28,AU,Wollongong,pm2.5,46,1.0,60.0,21.0,1594.88,27.720000000000002,28
2022-12-28,AU,Wollongong,so2,5,1.5,2.9,1.5,3.92,0.3721804511278195,0
2022-12-29,AU,Adelaide,co,22,0.9,1.7,1.2,0.7,6.6,7
2022-12-29,AU,Adelaide,no2,60,0.5,4.2,1.4,6.15,0.5774999999999999,1
2022-12-29,AU,Adelaide,o3,67,3.7,9.0,6.1,22.15,3.004477611940298,3
2022-12-29,AU,Adelaide,pm10,120,11.0,40.0,20.0,263.75,13.200000000000001,13
2022-12-29,AU,Adelaide,pm2.5,95,3.0,105.0,21.0,2012.96,27.720000000000002,28
2022-12-29,AU,Adelaide,so2,15,0.6,1.1,0.6,0.31,0.1488721804511278,0
2022-12-29,AU,Brisbane,no2,119,0.5,7.4,2.3,26.48,0.9487499999999999,1
2022-12-29,AU,Brisbane,o3,72,0.5,10.2,5.3,59.23,2.6104477611940298,3
2022-12-29,AU,Brisbane,pm10,216,2.0,36.0,16.0,509.8,10.56,11
2022-12-29,AU,Brisbane,pm2.5,214,1.0,51.0,27.0,1189.26,35.64,36
2022-12-29,AU,Brisbane,so2,23,0.6,2.1,0.6,1.78,0.1488721804511278,0
2022-12-29,AU,Canberra,co,27,0.4,8.0,0.8,88.41,4.4,4
2022-12-29,AU,Canberra,no2,9,0.5,6.9,2.3,51.67,0.9487499999999999,1
2022-12-29,AU,Canberra,o3,68,1.7,10.6,6.5,39.14,3.201492537313433,3
2022-12-29,AU,Canberra,pm10,69,2.0,21.0,7.0,163.99,4.62,5
2022-12-29,AU,Canberra,pm2.5,65,2.0,52.0,19.0,1204.34,25.080000000000002,25
2022-12-29,AU,Darwin,co,72,1.2,5.7,4.2,30.17,23.1,23
2022-12-29,AU,Darwin,no2,72,0.1,1.5,0.3,1.75,0.12374999999999999,0
2022-12-29,AU,Darwin,o3,72,4.1,7.4,5.5,3.37,2.7089552238805967,3
2022-12-29,AU,Darwin,pm10,72,1.0,25.0,14.0,450.56,9.24,9
2022-12-29,AU,Darwin,pm2.5,62,2.0,27.0,13.0,416.14,17.16,17
2022-12-29,AU,Darwin,so2,58,0.1,0.8,0.1,0.99,0.02481203007518797,0
2022-12-29,AU,Hobart,pm10,71,2.0,13.0,6.0,42.34,3.96,4
2022-12-29,AU,Hobart,pm2.5,48,5.0,13.0,5.0,54.4,6.6000000000000005,7
2022-12-29,AU,Launceston,pm10,117,2.0,12.0,7.0,32.49,4.62,5
2022-12-29,AU,Launceston,pm2.5,63,5.0,17.0,9.0,54.89,11.88,12
2022-12-29,AU,Melbourne,co,90,0.4,2.6,0.7,2.03,3.8499999999999996,4
2022-12-29,AU,Melbourne,no2,67,1.0,7.5,2.8,16.44,1.1549999999999998,1
2022-12-29,AU,Melbourne,o3,85,5.6,15.2,10.4,75.42,5.122388059701493,5
2022-12-29,AU,Melbourne,pm10,120,11.0,35.0,22.0,148.35,14.520000000000001,15
2022-12-29,AU,Melbourne,pm2.5,165,1.0,52.0,26.0,1019.23,34.32,34
2022-12-29,AU,Melbourne,so2,88,0.2,1.5,0.7,1.24,0.17368421052631577,0
2022-12-29,AU,Newcastle,no2,65,1.0,9.3,2.8,67.43,1.1549999999999998,1
2022-12-29,AU,Newcastle,pm10,144,5.0,60.0,22.0,730.58,14.520000000000001,15
2022-12-29,AU,Newcastle,pm2.5,139,1.0,55.0,19.0,1204.16,25.080000000000002,25
2022-12-29,AU,Newcastle,so2,25,1.5,20.0,1.5,277.35,0.3721804511278195,0
2022-12-29,AU,Perth,no2,15,1.2,7.8,4.5,75.14,1.85625,2
2022-12-29,AU,Perth,o3,69,6.0,54.0,22.0,1065.78,10.835820895522387,11
2022-12-29,AU,Perth,pm10,90,5.0,18.0,9.0,93.54,5.94,6
2022-12-29,AU,Perth,pm2.5,90,2.0,22.0,7.0,248.15,9.24,9
2022-12-29,AU,Sydney,co,9,1.2,2.3,1.2,3.03,6.6,7
2022-12-29,AU,Sydney,no2,110,1.0,10.2,2.8,30.97,1.1549999999999998,1
2022-12-29,AU,Sydney,o3,132,2.4,17.6,12.1,104.4,5.959701492537313,6
2022-12-29,AU,Sydney,pm10,144,8.0,33.0,16.0,193.29,10.56,11
2022-12-29,AU,Sydney,pm2.5,142,1.0,45.0,18.0,704.6,23.76,24
2022-12-29,AU,Sydney,so2,14,1.5,10.0,1.5,59.44,0.3721804511278195,0
